category,expression,source,risk_note
combination_dish,番茄炒蛋盖饭,takeout_query_log,高频盖饭表达，常被拆成单菜误判
combination_dish,青椒肉丝盖饭,takeout_query_log,“青椒炒肉/辣椒炒肉”同义表达多
combination_dish,鱼香肉丝盖饭,takeout_query_log,和鱼香肉丝单菜表达混用
combination_dish,麻婆豆腐盖饭,takeout_query_log,盖饭与单菜模式切换频繁
combo_set,汉堡薯条可乐套餐,takeout_query_log,套餐内饮料易被漏算
combo_set,炸鸡汉堡套餐,takeout_query_log,双炸物+饮料组合高热量易低估
combo_set,牛肉面卤蛋套餐,takeout_query_log,“面加蛋”常被当作单面条处理
combo_set,鸡腿饭可乐套餐,takeout_query_log,“饭+可乐”常漏饮料热量
breakfast_combo,油条豆浆组合,breakfast_query_log,数量词对总量影响大
breakfast_combo,包子豆浆早餐,breakfast_query_log,“两个包子一杯豆浆”高频
breakfast_combo,煎饼果子豆浆早餐,breakfast_query_log,与煎饼单品表达混用
breakfast_combo,茶叶蛋白粥早餐,breakfast_query_log,低脂场景问法高频
drink_expression,燕麦拿铁,drink_query_log,与拿铁/生椰拿铁易混
drink_expression,零度可乐,drink_query_log,控糖问法高频
drink_expression,无糖乌龙茶,drink_query_log,“无糖茶”泛称需要标准化
drink_expression,蜂蜜柠檬茶,drink_query_log,常被误认为低热量
drink_expression,茉莉奶绿,drink_query_log,奶绿/茉莉奶茶别名多
